genres;artists
['show tunes'];"""Cats"" 1981 Original London Cast"
[];"""Cats"" 1983 Broadway Cast"
[];"""Fiddler On The Roof” Motion Picture Chorus"
[];"""Fiddler On The Roof” Motion Picture Orchestra"
[];"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast"
[];"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast"
[];"""Mama"" Helen Teagarden"
[];"""Test for Victor Young"""
['comedy rock', 'comic', 'parody'];"""Weird Al"" Yankovic"
['emo rap', 'florida rap', 'sad rap', 'underground hip hop', 'vapor trap'];$NOT
['dark trap', 'meme rap'];$atori Zoom
[];$pyda
['asian american hip hop', 'cali rap', 'west coast trap'];$tupid Young
['dark trap', 'new orleans rap', 'underground hip hop'];$uicideBoy$
['broadway', 'show tunes'];'In The Heights' Original Broadway Company
['broadway', 'hollywood', 'show tunes'];'Legally Blonde' Ensemble
['show tunes'];'Legally Blonde' Greek Chorus
['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop'];'Til Tuesday
['experimental hip hop', 'indie r&b', 'indie soul'];((( O )))
[];(Con La Participación de Marc Anthony)
['k-pop', 'k-pop girl group'];(G)I-DLE
['alternative metal', 'industrial metal', 'nu metal', 'rap metal', 'rap rock'];(Hed) P.E.
['boy band', 'dance pop', 'europop', 'pop'];*NSYNC
[];+44
['alternative rock', 'dance-punk', 'double drumming', 'indie rock', 'modern rock', 'post-hardcore'];...And You Will Know Us by the Trail of Dead
[];...Bender
['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap'];03 Greedo
['alternative r&b', 'new jersey rap'];070 Shake
['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae'];10 Ft. Ganja Plant
['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock'];10 Years
['alternative rock', 'dance rock', 'folk', 'lilith', 'mellow gold', 'new wave pop', 'pop rock'];10,000 Maniacs
['glitchcore', 'hyperpop'];100 gecs
['adult standards', 'ballroom', 'easy listening', 'lounge'];101 Strings Orchestra
['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock'];10cc
['g funk', 'hyphy', 'west coast trap'];11/5
['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary'];112
['classical piano duo'];12 Pianists
['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock'];12 Stones
['acid rock', 'classic garage rock', 'experimental', 'folk rock', 'freakbeat', 'protopunk', 'psychedelic rock'];13th Floor Elevators
[];1422
[];1776 Ensemble
[];1776 Orchestra
['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat'];1910 Fruitgum Company
['japanese city pop'];1986 Omega Tribe
['florida rap'];1way Frank
['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house'];2 Brothers On The 4th Floor
['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'];2 Chainz
[];2 Crows
[];2 Guys n the Parque
[];2 Hyped Brothers & A Dog
['hip house', 'latin house', 'vogue'];2 In A Room
['electro', 'gangster rap', 'hip hop', 'hip house', 'miami bass', 'miami hip hop', 'old school hip hop', 'rap'];2 LIVE CREW
['dirty south rap', 'pop rap', 'southern hip hop', 'trap'];2 Pistols
['bubblegum dance', 'eurodance', 'europop', 'hip house'];2 Unlimited
[];2* Sweet
['eurodance', 'hip house'];20 Fingers
['dirty texas rap'];20-2-Life
['atl hip hop', 'dirty south rap', 'southern hip hop', 'trap'];20/20
['new age'];2002
[];2004 Hawaii Music Awards Compilation Of The Year
[];2014 ATHINAIKI DISCOGRAFIKI
[];20th Century Fox Studio Orchestra
['atl hip hop', 'rap', 'trap'];21 Savage
[];22, Little Red, Tangle Eye & Hard Hair
['swedish hard rock', 'swedish melodic rock'];220 Volt
['brooklyn drill', 'nyc rap'];22Gz
['bachata', 'latin', 'tropical'];24 Horas
['trap', 'trap soul', 'underground hip hop', 'vapor trap'];24hrs
['cali rap'];24kGoldn
['emo rap', 'sad rap'];27CLUB
['afro dancehall', 'afropop', 'azontobeats', 'highlife', 'nigerian hip hop', 'nigerian pop'];2Baba
['bow pop', 'cello', 'classify'];2CELLOS
['kentucky hip hop'];2KBABY
['dance pop', 'k-pop', 'k-pop girl group', 'pop dance'];2NE1
['k-pop', 'k-pop boy group', 'korean pop'];2PM
['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap'];2Pac
[];2Pac a.k.a. Makaveli
['epicore'];2WEI
['deep christian rock'];2nd Chapter Of Acts
[];2nd Generation Outlawz
['gangster rap', 'west coast rap'];2nd II None
['early american folk', 'string band', 'traditional country'];2nd South Carolina String Band
[];2toxic
['alternative metal', 'nu metal', 'pop rock', 'post-grunge'];3 Doors Down
['canadian metal', 'speed metal', 'vancouver metal', 'vancouver punk'];3 Inches Of Blood
[];3 in One
['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'modern rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock'];311
['sad rap'];347aidan
[];35MM: A Musical Exhibition Original Cast
['alternative metal', 'groove metal', 'melodic metalcore', 'metalcore', 'nu metal', 'rap rock'];36 Crazyfists
['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock'];38 Special
['trival'];3BallMTY
['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house'];3LAU
['girl group', 'hip pop', 'r&b', 'urban contemporary'];3LW
['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop'];3OH!3
['dark clubbing', 'electro-industrial', 'industrial', 'industrial metal', 'industrial rock'];3T
['g funk', 'hyphy', 'west coast rap', 'west coast trap'];3X Krazy
['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap'];3rd Bass
['nu metal', 'rap rock'];3rd Strike
